pp80_photonjet,0,24,137,397,1134,2378,4644,7926,12083,16971,22583,27918,32798,36467,39212,41031,41683,41506,40491,39582,37772,36083,34431,32935,31129,29074,27367,25552,23689,21622,19911,18028,16484,14399,12814,11322,9837,8595,7257,6126,5174,4241,3450,2720,2251,1795,1420,1183,829,653,533,380,283,188,149,111,78,57,44,37,17,15,14,10,5,4,3,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
pp80_photonjet_error,0,4.89898,11.7047,19.9249,33.6749,48.7647,68.1469,89.0281,109.923,130.273,150.276,167.087,181.102,190.963,198.02,202.561,204.164,203.73,201.224,198.952,194.35,189.955,185.556,181.48,176.434,170.511,165.43,159.85,153.912,147.044,141.106,134.268,128.39,119.996,113.199,106.405,99.1817,92.7092,85.188,78.2688,71.9305,65.123,58.7367,52.1536,47.4447,42.3674,37.6829,34.3948,28.7924,25.5539,23.0868,19.4936,16.8226,13.7113,12.2066,10.5357,8.83176,7.54983,6.63325,6.08276,4.12311,3.87298,3.74166,3.16228,2.23607,2,1.73205,0,1.41421,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
pp80_photonjet_quark_truth,0,24,129,383,1100,2302,4515,7696,11749,16456,21843,26946,31588,34991,37402,38824,39310,38836,37500,36349,34363,32616,30901,29282,27558,25428,23858,22117,20243,18298,16861,15036,13656,11822,10355,8953,7660,6592,5504,4565,3770,3067,2428,1875,1526,1194,911,773,512,415,334,227,155,118,87,52,45,21,25,18,5,9,8,3,3,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
pp80_photonjet_quark_truth_error,0,4.89898,11.3578,19.5704,33.1662,47.9792,67.1937,87.7268,108.393,128.281,147.794,164.152,177.73,187.059,193.396,197.038,198.267,197.069,193.649,190.654,185.373,180.599,175.787,171.12,166.006,159.462,154.46,148.718,142.278,135.27,129.85,122.621,116.859,108.729,101.76,94.6203,87.5214,81.1911,74.1889,67.5648,61.4003,55.3805,49.2747,43.3013,39.064,34.5543,30.1828,27.8029,22.6274,20.3715,18.2757,15.0665,12.4499,10.8628,9.32738,7.2111,6.7082,4.58258,5,4.24264,2.23607,3,2.82843,1.73205,1.73205,0,1,0,1.41421,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
pp80_photonjet_gluon_truth,0,0,1,5,12,14,29,54,120,176,264,384,498,663,865,1120,1253,1508,1778,1946,2133,2222,2278,2398,2448,2602,2483,2504,2538,2574,2348,2382,2314,2122,2051,2031,1883,1753,1553,1373,1237,1052,916,763,653,537,457,367,288,215,180,131,112,61,58,52,32,33,14,18,11,6,5,6,2,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
pp80_photonjet_gluon_truth_error,0,0,1,2.23607,3.4641,3.74166,5.38516,7.34847,10.9545,13.2665,16.2481,19.5959,22.3159,25.7488,29.4109,33.4664,35.3977,38.833,42.1663,44.1135,46.1844,47.1381,47.7284,48.9694,49.4773,51.0098,49.8297,50.04,50.3786,50.7346,48.4562,48.8057,48.1041,46.0652,45.288,45.0666,43.3935,41.8688,39.4081,37.054,35.171,32.4345,30.2655,27.6225,25.5539,23.1733,21.3776,19.1572,16.9706,14.6629,13.4164,11.4455,10.583,7.81025,7.61577,7.2111,5.65685,5.74456,3.74166,4.24264,3.31662,2.44949,2.23607,2.44949,1.41421,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
pp80,0,24,117,377,918,1983,4024,6773,10678,15229,20340,25870,31288,36609,41203,45192,48603,51989,54253,56302,57356,58918,58798,58201,57880,56640,55117,53036,51007,48962,46541,44631,42055,39435,36323,33924,30753,28196,25403,22722,19612,16946,14730,12621,10467,8637,7066,5784,4605,3566,2892,2185,1735,1297,918,658,523,422,314,214,151,93,92,68,34,35,27,11,13,6,3,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
pp80_error,0,4.89898,10.8167,19.4165,30.2985,44.5309,63.435,82.2982,103.334,123.406,142.618,160.842,176.884,191.335,202.985,212.584,220.461,228.011,232.923,237.28,239.491,242.73,242.483,241.249,240.583,237.992,234.77,230.295,225.847,221.274,215.734,211.261,205.073,198.582,190.586,184.185,175.365,167.917,159.383,150.738,140.043,130.177,121.367,112.343,102.308,92.9355,84.0595,76.0526,67.8602,59.716,53.7773,46.744,41.6533,36.0139,30.2985,25.6515,22.8692,20.5426,17.72,14.6287,12.2882,9.64365,9.59166,8.24621,5.83095,5.91608,5.19615,3.31662,3.60555,2.44949,1.73205,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
pp80_quark_truth,0,20,101,323,759,1649,3263,5434,8489,11968,15602,19229,22465,25303,26988,28180,28466,28266,27500,26812,25505,24512,23199,21864,20727,19463,18029,16710,15146,13920,12755,11581,10172,9234,7853,6868,5887,5078,4321,3633,2940,2413,1997,1628,1242,989,748,617,452,350,285,217,158,147,78,64,33,34,28,19,16,5,8,4,3,4,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
pp80_quark_truth_error,0,4.47214,10.0499,17.9722,27.55,40.6079,57.1227,73.7157,92.1358,109.398,124.908,138.669,149.883,159.069,164.28,167.869,168.719,168.125,165.831,163.744,159.703,156.563,152.312,147.865,143.969,139.51,134.272,129.267,123.069,117.983,112.938,107.615,100.856,96.0937,88.6172,82.8734,76.7268,71.2601,65.7343,60.2744,54.2218,49.1223,44.6878,40.3485,35.242,31.4484,27.3496,24.8395,21.2603,18.7083,16.8819,14.7309,12.5698,12.1244,8.83176,8,5.74456,5.83095,5.2915,4.3589,4,2.23607,2.82843,2,1.73205,2,1.41421,1,1,1,0,0,1.41421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
